game,console,loose_val,complete_val,new_val,date(D/M/Y)
EarthBound,super-nintendo,154.85,758.02,878.33,10/02/2020
Super Nintendo System,super-nintendo,31.00,70.50,759.50,10/02/2020
Chrono Trigger,super-nintendo,99.77,293.76,988.23,10/02/2020
Zelda Link to the Past,super-nintendo,18.92,87.56,269.00,10/02/2020
Animaniacs,super-nintendo,7.90,37.59,65.03,10/02/2020
Super Mario World,super-nintendo,11.45,174.34,390.59,10/02/2020
Super Metroid,super-nintendo,38.34,113.50,291.00,10/02/2020
Super Mario RPG,super-nintendo,39.99,105.00,388.15,10/02/2020
Mega Man X3,super-nintendo,163.05,387.69,3500.00,10/02/2020
Secret of Mana,super-nintendo,31.44,96.98,1240.12,10/02/2020
Super Mario Kart,super-nintendo,22.22,44.85,220.10,10/02/2020
Teenage Mutant Ninja Turtles IV Turtles in Time,super-nintendo,39.85,172.00,799.95,10/02/2020
Donkey Kong Country,super-nintendo,14.97,43.50,377.31,10/02/2020
Mega Man X,super-nintendo,18.67,68.28,380.74,10/02/2020
Final Fantasy III,super-nintendo,39.99,142.74,1013.70,10/02/2020
Super Castlevania IV,super-nintendo,31.93,90.02,265.92,10/02/2020
Hagane The Final Conflict,super-nintendo,433.35,1590.86,2230.70,10/02/2020
Super Mario All-Stars,super-nintendo,13.99,42.09,232.28,10/02/2020
Super Mario World 2 Yoshi's Island,super-nintendo,24.25,67.47,449.16,10/02/2020
Aero Fighters,super-nintendo,574.50,1448.14,4249.99,10/02/2020
Mega Man X2,super-nintendo,78.50,235.80,2299.99,10/02/2020
Castlevania Dracula X,super-nintendo,176.23,470.08,1199.91,10/02/2020
Super Mario All-stars and Super Mario World,super-nintendo,20.90,59.27,154.22,10/02/2020
Contra III The Alien Wars,super-nintendo,29.42,92.56,300.26,10/02/2020
Nintendo Powerfest 1994,super-nintendo,16057.06,N/A,16089.82,10/02/2020
Demon's Crest,super-nintendo,86.04,227.39,667.48,10/02/2020
Mega Man 7,super-nintendo,117.75,374.50,1848.75,10/02/2020
Donkey Kong Country 2,super-nintendo,18.06,49.95,265.06,10/02/2020
Donkey Kong Country Competition Edition,super-nintendo,1650.51,1700.21,N/A,10/02/2020
Illusion of Gaia,super-nintendo,15.80,50.91,264.98,10/02/2020
Zombies Ate My Neighbors,super-nintendo,23.74,78.59,267.20,10/02/2020
Star Fox,super-nintendo,12.97,26.48,57.99,10/02/2020
Street Fighter II,super-nintendo,9.88,24.95,238.80,10/02/2020
Super Nintendo System Jr.,super-nintendo,62.61,178.45,463.97,10/02/2020
Sunset Riders,super-nintendo,59.12,234.27,475.01,10/02/2020
Metal Warriors,super-nintendo,193.09,600.00,2439.27,10/02/2020
Wild Guns,super-nintendo,188.74,515.10,850.00,10/02/2020
EVO the Search for Eden,super-nintendo,136.50,517.04,1342.64,10/02/2020
Final Fantasy II,super-nintendo,29.99,102.35,997.79,10/02/2020
Harvest Moon,super-nintendo,151.76,435.28,1500.00,10/02/2020
Killer Instinct,super-nintendo,11.27,35.21,102.09,10/02/2020
Super Nintendo Classic Edition,super-nintendo,78.16,84.80,109.97,10/02/2020
Kirby's Dream Land 3,super-nintendo,74.82,224.70,530.94,10/02/2020
Star Fox Super Weekend Competition,super-nintendo,1108.08,N/A,N/A,10/02/2020
Final Fight Guy,super-nintendo,180.02,775.00,1222.48,10/02/2020
Secret of Evermore,super-nintendo,23.23,55.27,209.48,10/02/2020
Final Fantasy Mystic Quest,super-nintendo,12.05,40.78,116.52,10/02/2020
Donkey Kong Country 3,super-nintendo,20.38,56.98,190.00,10/02/2020
Super Punch Out,super-nintendo,19.66,57.50,223.54,10/02/2020
Pocky and Rocky 2,super-nintendo,286.06,660.55,833.82,10/02/2020
Mario Paint,super-nintendo,5.00,54.99,189.40,10/02/2020
Exertainment Mountain Bikerally Speed Racer,super-nintendo,1348.32,2683.00,4800.00,10/02/2020
Super Ghouls 'N Ghosts,super-nintendo,18.37,67.80,287.46,10/02/2020
Street Fighter II Turbo,super-nintendo,12.49,33.21,224.91,10/02/2020
Super Gameboy,super-nintendo,17.09,41.34,129.85,10/02/2020
Kirby Super Star,super-nintendo,32.50,87.35,270.00,10/02/2020
Adventures of Batman and Robin,super-nintendo,72.55,260.00,557.60,10/02/2020
Lufia II Rise of Sinistrals,super-nintendo,66.78,135.61,234.71,10/02/2020
Kirby's Avalanche,super-nintendo,9.93,26.99,89.99,10/02/2020
Final Fight 3,super-nintendo,100.00,268.94,898.67,10/02/2020
Pocky &amp; Rocky,super-nintendo,106.92,270.12,1509.57,10/02/2020
Battletoads and Double Dragon The Ultimate Team,super-nintendo,20.25,100.37,256.80,10/02/2020
Space MegaForce,super-nintendo,137.47,276.26,600.00,10/02/2020
Super Street Fighter II,super-nintendo,15.79,34.73,90.56,10/02/2020
Super Star Wars Empire Strikes Back,super-nintendo,10.75,29.99,52.80,10/02/2020
Aladdin,super-nintendo,10.99,32.98,183.35,10/02/2020
Super Scope 6 [Gun Bundle],super-nintendo,44.73,90.88,174.99,10/02/2020
Mortal Kombat,super-nintendo,10.39,27.99,179.99,10/02/2020
F-Zero,super-nintendo,10.00,29.99,46.40,10/02/2020
Super Star Wars,super-nintendo,12.18,29.95,74.71,10/02/2020
Ninja Gaiden Trilogy,super-nintendo,99.81,288.98,688.70,10/02/2020
Street Fighter Alpha 2,super-nintendo,30.00,101.30,146.88,10/02/2020
Super Bomberman 2,super-nintendo,22.22,53.54,149.99,10/02/2020
Mega Man Soccer,super-nintendo,45.48,161.83,348.54,10/02/2020
Ogre Battle The March of the Black Queen,super-nintendo,84.00,207.47,557.39,10/02/2020
Breath of Fire,super-nintendo,27.01,61.26,254.23,10/02/2020
Spiderman Maximum Carnage,super-nintendo,23.88,69.44,253.01,10/02/2020
Doom,super-nintendo,24.48,59.94,177.38,10/02/2020
Soul Blazer,super-nintendo,55.00,148.30,610.50,10/02/2020
Legend of the Mystical Ninja,super-nintendo,31.26,93.08,399.57,10/02/2020
Mortal Kombat II,super-nintendo,13.04,35.12,140.42,10/02/2020
Super Turrican 2,super-nintendo,204.91,587.54,1275.10,10/02/2020
King of Dragons,super-nintendo,59.47,167.05,404.94,10/02/2020
Knights of the Round,super-nintendo,69.38,171.62,471.05,10/02/2020
Battletoads In Battlemaniacs,super-nintendo,30.72,101.66,256.18,10/02/2020
Final Fight,super-nintendo,9.55,34.00,139.75,10/02/2020
Lufia and The Fortress of Doom,super-nintendo,35.00,103.79,349.99,10/02/2020
ActRaiser,super-nintendo,24.19,66.06,187.61,10/02/2020
Kirby's Dream Course,super-nintendo,18.97,50.71,200.00,10/02/2020
Uniracers,super-nintendo,12.49,33.00,131.91,10/02/2020
Breath of Fire II,super-nintendo,44.00,110.88,272.41,10/02/2020
Nintendo Campus Challenge 1992,super-nintendo,4000.00,N/A,N/A,10/02/2020
Bronkie The Bronchiasaurus,super-nintendo,162.17,199.95,280.00,10/02/2020
The Lion King,super-nintendo,9.25,26.26,97.49,10/02/2020
Ghoul Patrol,super-nintendo,99.99,190.93,305.00,10/02/2020
Earthworm Jim,super-nintendo,21.00,49.99,245.76,10/02/2020
Ninja Warriors,super-nintendo,103.97,403.01,1121.80,10/02/2020
Teenage Mutant Ninja Turtles Tournament Fighters,super-nintendo,16.99,60.00,335.24,10/02/2020
Super Double Dragon,super-nintendo,25.62,78.09,499.99,10/02/2020
Mortal Kombat 3,super-nintendo,9.99,28.96,195.95,10/02/2020
Goof Troop,super-nintendo,15.26,40.37,121.39,10/02/2020
Mighty Morphin Power Rangers,super-nintendo,13.00,37.40,199.99,10/02/2020
Magical Quest starring Mickey Mouse,super-nintendo,13.59,48.93,189.75,10/02/2020
3 Ninjas Kick Back,super-nintendo,58.50,732.52,2700.00,10/02/2020
UN Squadron,super-nintendo,18.00,56.51,198.16,10/02/2020
Final Fight 2,super-nintendo,41.00,103.75,395.00,10/02/2020
The 7th Saga,super-nintendo,15.00,54.99,458.01,10/02/2020
SimCity,super-nintendo,7.98,19.62,55.00,10/02/2020
X-Men Mutant Apocalypse,super-nintendo,9.58,39.99,129.37,10/02/2020
Jurassic Park,super-nintendo,7.25,20.00,62.91,10/02/2020
Zero the Kamikaze Squirrel,super-nintendo,124.99,520.00,896.72,10/02/2020
Gradius III,super-nintendo,12.46,39.99,96.43,10/02/2020
Joe and Mac 2 Lost in the Tropics,super-nintendo,50.00,160.01,416.17,10/02/2020
Run Saber,super-nintendo,57.18,149.99,465.57,10/02/2020
Axelay,super-nintendo,48.14,106.75,480.00,10/02/2020
Batman Returns,super-nintendo,12.50,44.23,232.75,10/02/2020
NBA Jam,super-nintendo,7.74,19.99,52.82,10/02/2020
Ultimate Mortal Kombat 3,super-nintendo,17.04,65.75,176.71,10/02/2020
R-Type III The Third Lightning,super-nintendo,108.21,325.58,651.55,10/02/2020
Super Bomberman,super-nintendo,27.74,148.84,461.32,10/02/2020
Super Star Wars Return of the Jedi,super-nintendo,12.71,30.00,73.49,10/02/2020
Skyblazer,super-nintendo,63.38,134.78,170.63,10/02/2020
Super R-Type,super-nintendo,8.29,43.24,93.39,10/02/2020
Shadowrun,super-nintendo,36.09,88.44,263.19,10/02/2020
Super Nintendo Controller,super-nintendo,8.32,49.18,122.50,10/02/2020
Tetris and Dr. Mario,super-nintendo,14.63,29.97,78.62,10/02/2020
Mario is Missing,super-nintendo,11.49,32.87,169.69,10/02/2020
Sparkster,super-nintendo,97.00,358.83,856.27,10/02/2020
Joe and Mac,super-nintendo,11.30,24.95,44.06,10/02/2020
Captain Commando,super-nintendo,74.15,258.86,515.01,10/02/2020
The Twisted Tales of Spike McFang,super-nintendo,89.99,212.48,423.59,10/02/2020
Teenage Mutant Ninja Turtles IV Turtles in Time [Not for Resale],super-nintendo,120.00,N/A,N/A,10/02/2020
Nosferatu,super-nintendo,82.45,205.09,327.62,10/02/2020
Batman Forever,super-nintendo,4.57,18.98,65.64,10/02/2020
Dragon View,super-nintendo,72.84,182.03,473.00,10/02/2020
Yoshi's Safari,super-nintendo,9.77,27.48,99.38,10/02/2020
Brain Lord,super-nintendo,24.33,63.47,209.99,10/02/2020
Super Adventure Island II,super-nintendo,63.48,171.40,197.99,10/02/2020
Earthworm Jim 2,super-nintendo,21.42,50.50,159.99,10/02/2020
The Lost Vikings,super-nintendo,23.96,55.47,151.68,10/02/2020
Super Turrican,super-nintendo,34.49,105.21,334.19,10/02/2020
Incantation,super-nintendo,103.06,443.84,760.01,10/02/2020
Legend,super-nintendo,50.00,169.98,440.23,10/02/2020
Robotrek,super-nintendo,43.50,116.84,310.08,10/02/2020
Rock 'n Roll Racing,super-nintendo,34.99,65.00,194.74,10/02/2020
Marvel Super Heroes in War of the Gems,super-nintendo,26.23,113.25,348.17,10/02/2020
Tiny Toon Adventures Buster Busts Loose,super-nintendo,6.12,30.30,59.97,10/02/2020
M.A.C.S.  Multipurpose Arcade Combat Simulator,super-nintendo,1300.00,3992.19,N/A,10/02/2020
Sonic Blast Man 2,super-nintendo,89.83,290.69,591.54,10/02/2020
The Flintstones Treasure of the Sierra Madrock,super-nintendo,41.91,135.51,352.34,10/02/2020
Pilotwings,super-nintendo,8.06,24.03,84.26,10/02/2020
Cybernator,super-nintendo,22.15,54.99,153.53,10/02/2020
