game
pokemon-crystal
pokemon-gold
pokemon-silver
super-mario-bros-deluxe
shantae
zelda-oracle-of-ages
zelda-oracle-of-seasons
pokemon-trading-card-game
pokemon-pikachu-2-gs
pokemon-pinball
metal-gear-solid
resident-evil-gaiden
donkey-kong-country
wario-land-3
wario-land-2
mega-man-xtreme-2
tetris-dx
dragon-warrior-i-and-ii
dragon-warrior-monsters
yu-gi-oh-dark-duel-stories
