game
super-smash-bros-melee
super-mario-sunshine
mario-kart-double-dash
fire-emblem-path-of-radiance
zelda-wind-waker
paper-mario-thousand-year-door
zelda-twilight-princess
mario-party-7
metroid-prime
zelda-ocarina-of-time-master-quest
mario-party-4
pokemon-colosseum
pokemon-box
eternal-darkness
star-fox-adventures
mario-party-5
super-mario-strikers
animal-crossing
sonic-adventure-2-battle
mario-party-6
cubivore
pokemon-xd-gale-of-darkness
